id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url,release_year
0qB213IfGN0JXXm9aRjldF,spotify:track:0qB213IfGN0JXXm9aRjldF,Again (with The Mellomen),"['Doris Day', 'The Mellomen']",Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/d9665450993b7b721dd42cb91a372f59be30bdf2?cid=74d3dcba17084a749f20d4d3a2640dec,1945
20G1XJaTwIm2IuwA3Pjg1d,spotify:track:20G1XJaTwIm2IuwA3Pjg1d,If I Give My Heart to You (with The Mellomen),"['Doris Day', 'The Mellomen']",Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/a26b112bfd5e41e88c45dddc2bafaad4697cfbca?cid=74d3dcba17084a749f20d4d3a2640dec,1945
3YU16osxnEi1e0SvXIt0QW,spotify:track:3YU16osxnEi1e0SvXIt0QW,Sentimental Journey (with Les Brown & His Orchestra),"['Doris Day', 'Les Brown & His Orchestra']",Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/168bbc003c6f70d332ebb25a751490f5ca8919f9?cid=74d3dcba17084a749f20d4d3a2640dec,1945
0qPeyVfebszZcHTUc48Lzl,spotify:track:0qPeyVfebszZcHTUc48Lzl,Lullaby of Broadway (with Harry James & His Orchestra),"['Doris Day', 'Harry James']",Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/6fd995ccf2647320d0666660538b2b778fa81d49?cid=74d3dcba17084a749f20d4d3a2640dec,1945
3cjOGPcrFpBseML7Xll49c,spotify:track:3cjOGPcrFpBseML7Xll49c,Move Over Darling,['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/a0a426ac5969c76d4f394a3ae5cf95dc67159f59?cid=74d3dcba17084a749f20d4d3a2640dec,1945
1lZSR5NKeNGuCPSTNL7BhW,spotify:track:1lZSR5NKeNGuCPSTNL7BhW,A Guy Is a Guy,['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/a72a58276052c497be3a9acf484fb474b947ba43?cid=74d3dcba17084a749f20d4d3a2640dec,1945
5BWhyqnBtuh67TGr9TJpi7,spotify:track:5BWhyqnBtuh67TGr9TJpi7,The Black Hills of Dakota,['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/a4ca09bf939d10131b0cd286ac3773ffedb3a9c0?cid=74d3dcba17084a749f20d4d3a2640dec,1945
1dWDmWSC515eD05iNODgIk,spotify:track:1dWDmWSC515eD05iNODgIk,Chal Sanyasi Mandir Mein,"['Lata Mangeshkar', 'Mukesh']",Sanyasi (Original Motion Picture Soundtrack),1945-12-01,day,https://p.scdn.co/mp3-preview/cf0549cbaafca317ae458894907965d4a5d216b8?cid=74d3dcba17084a749f20d4d3a2640dec,1945
6t0syJ2dDNHiGhm7B44Y3n,spotify:track:6t0syJ2dDNHiGhm7B44Y3n,It's A Lovely Day Today,['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/7f42afe3f0c2b0309dbc61daf9d37982e67bac20?cid=74d3dcba17084a749f20d4d3a2640dec,1945
0KCac2Oyqfi1kKyhrCJhPl,spotify:track:0KCac2Oyqfi1kKyhrCJhPl,It's Magic,['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/db51fab368096f254ab6188808c0dc2dcd805885?cid=74d3dcba17084a749f20d4d3a2640dec,1945
3CZt9u1wYSeZiikPDqJtRi,spotify:track:3CZt9u1wYSeZiikPDqJtRi,I Only Have Eyes for You (with Axel Stordahl & His Orchestra),"['Doris Day', 'Axel Stordahl And His Orchestra']",Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/7fd3c7cc80af636425f2aa70e9c983bbfd85a4b4?cid=74d3dcba17084a749f20d4d3a2640dec,1945
2Uiz5T9TOx1oaDpIHvbs0j,spotify:track:2Uiz5T9TOx1oaDpIHvbs0j,Sun Baal Bramhachari,"['Lata Mangeshkar', 'Mukesh']",Sanyasi (Original Motion Picture Soundtrack),1945-12-01,day,https://p.scdn.co/mp3-preview/ebb6ab3c1a60437e5c2a4c13242520ce006c93a1?cid=74d3dcba17084a749f20d4d3a2640dec,1945
0voo6ZDdfa25QvjHsHiZfT,spotify:track:0voo6ZDdfa25QvjHsHiZfT,"I've Never Been In Love Before - (from the musical ""Guys and Dolls"")",['Doris Day'],Golden Girl (The Columbia Recordings 1944-1966),1945,year,https://p.scdn.co/mp3-preview/c1d6c1c9365a763f6af1d2a3718aee1f0b709f97?cid=74d3dcba17084a749f20d4d3a2640dec,1945
