id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url
4skjZZo16hfFzziZMXY9aw,spotify:track:4skjZZo16hfFzziZMXY9aw,Cuando te veox,['Fer Palacio'],Cuando te veox,1900-01-01,day,https://p.scdn.co/mp3-preview/394dcb4b888e47fb82095fc527cb356122872fb4?cid=74d3dcba17084a749f20d4d3a2640dec
6YFTRjFcz1gwdDy2gVLIRW,spotify:track:6YFTRjFcz1gwdDy2gVLIRW,Mr Sandman,['The Four Aces'],The Best Of The Four Aces,1900-01-12,day,https://p.scdn.co/mp3-preview/edc7a73b3de30b6a8559420b5229ce5ada7c220e?cid=74d3dcba17084a749f20d4d3a2640dec
3ppjC6NXTGMfk0Zz3oV5Zx,spotify:track:3ppjC6NXTGMfk0Zz3oV5Zx,O Ferdovi A Mravenci,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/23423a5b53bec81cf7efa68e2753f28d86bf0456?cid=74d3dcba17084a749f20d4d3a2640dec
3863SATRiCqsFn20M5fJIP,spotify:track:3863SATRiCqsFn20M5fJIP,"Kam? Tam, či tam?",['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/48ff6c34fc8b3c316ae27c4470ee48bdfe928ce7?cid=74d3dcba17084a749f20d4d3a2640dec
1SPFWPyjFtIcO6tCCKPGjz,spotify:track:1SPFWPyjFtIcO6tCCKPGjz,Vaha Musi,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/37c6e1591a6ddaf6eaf1e77e513b3cbea637262e?cid=74d3dcba17084a749f20d4d3a2640dec
0hAEAzFsu4rF0gBMckUF8r,spotify:track:0hAEAzFsu4rF0gBMckUF8r,Niezwyczajna Mi£Oœæ,['Seventeen'],Szalona,1900,year,https://p.scdn.co/mp3-preview/b07bc703c2fc29af7160ef6584a62ebcbbe38642?cid=74d3dcba17084a749f20d4d3a2640dec
2u96YgaD7mYJcfD0XZ4UQo,spotify:track:2u96YgaD7mYJcfD0XZ4UQo,Lasko (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/54c7dfc7ca9d43af7699d9113a69ed685685ffcd?cid=74d3dcba17084a749f20d4d3a2640dec
6xavjEzXVqy7Y3tA8jUiah,spotify:track:6xavjEzXVqy7Y3tA8jUiah,Strangers In Paradise,['The Four Aces'],The Best Of The Four Aces,1900-01-12,day,https://p.scdn.co/mp3-preview/693e89c98d726484f3c91229fa6d8c75c23daa45?cid=74d3dcba17084a749f20d4d3a2640dec
0ltLkc2haEROT7lYdPi74h,spotify:track:0ltLkc2haEROT7lYdPi74h,Kruh,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/e9ad126a76fb541043c3c28a1f9ea8accc74dbac?cid=74d3dcba17084a749f20d4d3a2640dec
07RRv0GIpyTZmgkUWJ1DyP,spotify:track:07RRv0GIpyTZmgkUWJ1DyP,Cajdak,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/1374887131ebe30369ac51708694867bdf6e1dc3?cid=74d3dcba17084a749f20d4d3a2640dec
3l0si173aOnceY2ogP0zDa,spotify:track:3l0si173aOnceY2ogP0zDa,Svata Pravda (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/cc846d947916af6dd3763387c78c51ca70518555?cid=74d3dcba17084a749f20d4d3a2640dec
